created_at,entry_id,field1,field2,field3,field4
2017-10-04 23:49:28 +0800,1,26.0,26.00,73.0,73.00
2017-10-04 23:49:53 +0800,2,26.0,26.00,72.0,72.50
2017-10-04 23:50:17 +0800,3,25.0,25.67,73.0,72.67
2017-10-04 23:50:43 +0800,4,25.0,25.50,73.0,72.75
2017-10-04 23:51:15 +0800,5,25.0,25.40,71.0,72.40
2017-10-04 23:51:38 +0800,6,24.0,25.17,71.0,72.17
2017-10-04 23:52:01 +0800,7,24.0,25.00,70.0,71.86
2017-10-04 23:52:23 +0800,8,23.0,24.75,68.0,71.38
2017-10-04 23:52:46 +0800,9,22.0,24.44,67.0,70.89
2017-10-04 23:53:11 +0800,10,21.0,24.10,66.0,70.40
2017-10-04 23:53:36 +0800,11,19.0,23.64,67.0,70.09
2017-10-04 23:53:59 +0800,12,20.0,23.33,67.0,69.83
2017-10-04 23:54:21 +0800,13,19.0,23.00,67.0,69.62
2017-10-04 23:54:44 +0800,14,20.0,22.79,70.0,69.64
2017-10-04 23:55:08 +0800,15,21.0,22.67,72.0,69.80
2017-10-04 23:55:37 +0800,16,22.0,22.62,77.0,70.25
2017-10-04 23:56:01 +0800,17,24.0,22.71,81.0,70.88
2017-10-04 23:56:23 +0800,18,26.0,22.89,87.0,71.78


